Date,Open,High,Low,Close
03/19/2020,"2,719.41","2,736.82","2,646.80","2,702.13"
03/18/2020,"2,792.32","2,815.87","2,728.76","2,728.76"
03/17/2020,"2,796.28","2,826.91","2,715.22","2,779.64"
03/16/2020,"2,897.30","2,898.04","2,784.66","2,789.25"
03/13/2020,"2,804.23","2,910.88","2,799.98","2,887.43"
03/12/2020,"2,936.02","2,944.47","2,906.28","2,923.49"
03/11/2020,"3,001.76","3,010.03","2,968.52","2,968.52"
03/10/2020,"2,918.93","3,000.30","2,904.80","2,996.76"
03/09/2020,"2,943.29","2,989.20","2,940.71","2,943.29"
03/06/2020,"3,039.94","3,052.44","3,029.46","3,034.51"
03/05/2020,"3,036.15","3,074.26","3,022.93","3,071.68"
03/04/2020,"2,981.81","3,012.00","2,974.36","3,011.67"
03/03/2020,"3,006.89","3,026.84","2,976.62","2,992.90"
03/02/2020,"2,899.31","2,982.51","2,899.31","2,970.93"
02/28/2020,"2,924.64","2,948.13","2,878.54","2,880.30"
02/27/2020,"2,992.49","3,009.46","2,980.48","2,991.33"
02/26/2020,"2,978.42","3,028.78","2,974.94","2,987.93"
02/25/2020,"2,982.07","3,016.95","2,943.72","3,013.05"
02/24/2020,"3,027.89","3,042.18","3,007.36","3,031.23"
02/21/2020,"3,022.25","3,058.90","3,020.14","3,039.67"
02/20/2020,"2,981.88","3,031.37","2,968.45","3,030.15"
02/19/2020,"2,979.52","2,998.27","2,971.82","2,975.40"
02/18/2020,"2,981.41","2,990.60","2,960.78","2,984.97"
02/17/2020,"2,924.99","2,983.64","2,924.99","2,983.62"
02/14/2020,"2,899.87","2,926.94","2,899.57","2,917.01"
02/13/2020,"2,927.14","2,935.41","2,901.24","2,906.07"
02/12/2020,"2,895.56","2,926.90","2,892.42","2,926.90"
02/11/2020,"2,894.54","2,913.82","2,882.24","2,901.67"
02/10/2020,"2,860.50","2,891.85","2,851.05","2,890.49"
02/07/2020,"2,858.93","2,875.96","2,838.77","2,875.96"
02/06/2020,"2,826.89","2,876.59","2,807.61","2,866.51"
02/05/2020,"2,792.37","2,842.74","2,778.86","2,818.09"
02/04/2020,"2,685.27","2,786.16","2,685.27","2,783.29"
02/03/2020,"2,716.70","2,766.58","2,716.70","2,746.61"
01/23/2020,"3,037.95","3,045.04","2,955.35","2,976.53"
01/22/2020,"3,038.49","3,069.25","3,006.27","3,060.75"
01/21/2020,"3,085.79","3,085.79","3,051.23","3,052.14"
01/20/2020,"3,082.11","3,096.31","3,070.48","3,095.79"
01/17/2020,"3,081.46","3,091.95","3,067.25","3,075.50"
01/16/2020,"3,095.73","3,096.37","3,070.88","3,074.08"
01/15/2020,"3,103.17","3,107.94","3,082.04","3,090.04"
01/14/2020,"3,120.67","3,127.17","3,105.61","3,106.82"
01/13/2020,"3,091.49","3,115.57","3,075.38","3,115.57"
01/10/2020,"3,102.29","3,105.22","3,081.40","3,092.29"
01/09/2020,"3,082.64","3,097.33","3,080.13","3,094.88"
01/08/2020,"3,094.24","3,094.24","3,059.13","3,066.89"
01/07/2020,"3,085.49","3,105.45","3,084.33","3,104.80"
01/06/2020,"3,070.91","3,107.20","3,065.31","3,083.41"
01/03/2020,"3,089.02","3,093.82","3,074.52","3,083.79"
01/02/2020,"3,066.34","3,098.10","3,066.34","3,085.20"
12/31/2019,"3,036.39","3,051.68","3,030.51","3,050.12"
12/30/2019,"2,998.17","3,041.40","2,983.34","3,040.02"
12/27/2019,"3,006.85","3,036.11","3,003.63","3,005.04"
12/26/2019,"2,981.25","3,007.35","2,980.40","3,007.35"
12/25/2019,"2,980.43","2,988.29","2,970.66","2,981.88"
12/24/2019,"2,965.83","2,983.82","2,960.68","2,982.68"
12/23/2019,"2,999.04","3,009.34","2,960.44","2,962.75"
12/20/2019,"3,019.64","3,027.48","3,002.26","3,004.94"
12/19/2019,"3,017.15","3,021.42","3,007.99","3,017.07"
12/18/2019,"3,021.47","3,033.23","3,011.72","3,017.04"
12/17/2019,"2,985.26","3,039.38","2,982.50","3,022.42"
12/16/2019,"2,970.97","2,984.64","2,958.71","2,984.39"
12/13/2019,"2,937.78","2,969.98","2,935.85","2,967.68"
12/12/2019,"2,926.34","2,926.34","2,913.48","2,915.70"
12/11/2019,"2,922.60","2,928.26","2,915.00","2,924.42"
12/10/2019,"2,908.94","2,919.20","2,902.79","2,917.32"
12/09/2019,"2,914.46","2,919.59","2,905.25","2,914.48"
12/06/2019,"2,902.28","2,912.01","2,894.75","2,912.01"
12/05/2019,"2,886.52","2,902.00","2,885.08","2,899.47"
12/04/2019,"2,876.91","2,882.50","2,869.42","2,878.12"
12/03/2019,"2,869.88","2,884.86","2,857.32","2,884.70"
12/02/2019,"2,874.45","2,888.89","2,870.24","2,875.81"
11/29/2019,"2,885.97","2,892.39","2,858.58","2,871.98"
11/28/2019,"2,902.36","2,909.84","2,883.43","2,889.69"
11/27/2019,"2,905.40","2,914.49","2,893.42","2,903.19"
11/26/2019,"2,912.52","2,915.04","2,897.93","2,907.06"
11/25/2019,"2,885.61","2,906.61","2,880.65","2,906.17"
11/22/2019,"2,906.24","2,925.02","2,873.99","2,885.29"
11/21/2019,"2,902.55","2,910.36","2,891.53","2,903.64"
11/20/2019,"2,928.11","2,930.49","2,907.42","2,911.05"
11/19/2019,"2,904.28","2,933.99","2,902.86","2,933.99"
11/18/2019,"2,889.55","2,911.38","2,884.09","2,909.20"
11/15/2019,"2,911.35","2,917.83","2,891.20","2,891.34"
11/14/2019,"2,907.74","2,917.37","2,899.62","2,909.87"
11/13/2019,"2,913.02","2,913.86","2,893.97","2,905.24"
11/12/2019,"2,913.00","2,918.30","2,891.51","2,914.82"
11/11/2019,"2,949.96","2,949.96","2,906.77","2,909.97"
11/08/2019,"2,993.98","2,998.76","2,962.84","2,964.18"
11/07/2019,"2,978.15","2,988.96","2,969.12","2,978.71"
11/06/2019,"2,992.04","2,995.56","2,969.72","2,978.60"
11/05/2019,"2,977.70","3,008.31","2,968.03","2,991.56"
11/04/2019,"2,964.58","2,983.06","2,964.58","2,975.49"
11/01/2019,"2,924.34","2,959.83","2,917.15","2,958.20"
10/31/2019,"2,944.84","2,946.75","2,923.52","2,929.06"
10/30/2019,"2,949.46","2,953.30","2,934.83","2,939.32"
10/29/2019,"2,979.04","2,979.04","2,954.18","2,954.18"
10/28/2019,"2,958.69","2,980.13","2,956.96","2,980.05"
10/25/2019,"2,940.47","2,958.24","2,920.52","2,954.93"
10/24/2019,"2,944.01","2,953.04","2,927.06","2,940.92"
10/23/2019,"2,952.97","2,957.30","2,934.63","2,941.62"
10/22/2019,"2,945.60","2,954.64","2,934.39","2,954.38"
10/21/2019,"2,933.90","2,940.32","2,917.69","2,939.62"
10/18/2019,"2,982.34","2,987.20","2,933.24","2,938.14"
