OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,TakerBuyBaseAssetVolume,TakerBuyQuoteAssetVolume,Ignore,Change,HighChange,LowChange,VolumeChange,VolChange
1640000000000.0,3743.17,3756.98,3741.02,3744.01,3543.5882,1640000000000.0,13280507.91,13000,1909.3705,7156802.746,0,0.022440872308768917,0.346420014903801,-0.07986089780743738,107.16640000000007,3.118546157517685
1640000000000.0,3744.06,3759.83,3730.33,3753.95,5411.3372,1640000000000.0,20270662.55,16318,2927.0472,10967286.98,0,0.26415174970486244,0.15663501112162148,-0.6292039052198323,1867.7489999999998,52.70784568026272
1640000000000.0,3753.95,3756.94,3739.86,3745.28,4588.9759,1640000000000.0,17199743.87,15157,2379.1655,8918020.491,0,-0.2309567255823764,0.31132518796992087,-0.14471548188653646,-822.3612999999996,-15.197007127923937
1640000000000.0,3745.29,3757.43,3743.0,3752.59,4998.8423,1640000000000.0,18754053.81,16713,2895.321,10863831.55,0,0.19491147547987425,0.12897758614715946,-0.25555682875028035,409.8663999999999,8.931543963872198
1640000000000.0,3752.6,3790.38,3751.79,3778.17,9828.9944,1640000000000.0,37070074.91,26734,5366.8733,20238512.04,0,0.6813942333315612,0.32317232946108926,-0.6982216258135581,4830.152099999999,96.6254146485077
1640000000000.0,3778.17,3849.92,3778.08,3838.62,19488.0477,1640000000000.0,74306854.78,49033,11173.5221,42606302.79,0,1.5999809431550147,0.2943766249329233,-1.5771292808352992,9659.0533,98.27102251681006
1640000000000.0,3838.63,3857.44,3811.1,3823.82,16148.5809,1640000000000.0,61885663.45,42073,9191.2003,35234311.13,0,-0.38581473077634326,0.8792254865553265,-0.33265164155217175,-3339.4667999999983,-17.13597406681224
1640000000000.0,3823.82,3825.0,3771.91,3795.06,12193.3706,1640000000000.0,46282097.33,30777,5134.1493,19487287.84,0,-0.75212745369814,0.7889203332753647,-0.6100035309059696,-3955.2103000000006,-24.492618419492207
1640000000000.0,3795.06,3806.3,3784.2,3798.72,6647.9177,1640000000000.0,25235645.28,18029,3696.5776,14031428.21,0,0.09644116298556162,0.19954089798670033,-0.38223401566843523,-5545.4529,-45.47924509077088
1640000000000.0,3799.0,3814.42,3794.24,3810.26,6164.3283,1640000000000.0,23457590.71,17508,3671.5986,13970721.44,0,0.29639378783891074,0.10917890117734365,-0.4204437492454698,-483.58939999999984,-7.274298837965455
1640000000000.0,3810.27,3827.8,3802.01,3811.57,4056.87,1640000000000.0,15471100.53,14246,2005.094,7646585.029,0,0.034118317074647776,0.4258087874550387,-0.25081528084227617,-2107.4583000000002,-34.18796335036212
