OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,TakerBuyBaseAssetVolume,TakerBuyQuoteAssetVolume,Ignore,Change
1520000000000.0,8260.0,8348.62,7721.99,7824.8,33110.20633,1520000000000.0,265973111.6,292041,15677.25736,125987772.4,0,-5.268765133171911
1520000000000.0,7824.01,8317.4,7322.0,8189.99,59488.23171,1520000000000.0,458311733.5,423336,28216.51079,217530802.6,0,4.677652508112842
1520000000000.0,8189.0,8705.23,8088.4,8600.0,55297.08494,1520000000000.0,462654339.0,360414,27263.32476,228208487.5,0,5.018927830015875
1520000000000.0,8595.01,9050.0,8280.0,8909.98,44865.10584,1520000000000.0,387879393.5,298261,22849.03524,197422831.3,0,3.6645681622243527
1520000000000.0,8909.96,9177.01,8750.6,8885.0,39972.40537,1520000000000.0,358157473.4,293696,19047.4868,170758402.4,0,-0.2801359377595313
1520000000000.0,8884.82,9100.0,8465.1,8722.9,40617.55681,1520000000000.0,354804129.3,276449,19567.56362,171050710.2,0,-1.8224342192638692
1520000000000.0,8720.0,8909.0,8269.0,8898.03,39991.00767,1520000000000.0,340755592.5,278571,20106.78939,171487640.9,0,2.04162844036698
1520000000000.0,8898.04,8999.95,8491.0,8546.86,35466.60957,1520000000000.0,313254829.9,270300,17302.10809,152967779.9,0,-3.946711860139989
1520000000000.0,8531.25,8669.85,8365.77,8470.15,29001.76932,1520000000000.0,247023172.3,215660,14379.26436,122528264.0,0,-0.7161904761904804
1520000000000.0,8470.14,8514.89,7831.0,8134.23,44033.59566,1520000000000.0,358429758.9,310462,20957.25692,170723432.3,0,-3.9658140243254523
1520000000000.0,8134.22,8215.94,7730.0,7795.51,37427.64805,1520000000000.0,297609656.4,266540,18462.38211,146860645.0,0,-4.164013267406094
1520000000000.0,7795.51,8109.0,7728.0,7949.3,26401.33167,1520000000000.0,209186093.2,183620,13685.41714,108484584.6,0,1.9728022926017663
1520000000000.0,7949.3,7975.0,6941.11,7090.14,54620.91513,1520000000000.0,405591158.6,359537,24584.81155,182402558.2,0,-10.807995672574942
1520000000000.0,7090.16,7292.43,6600.1,6840.23,65306.03198,1520000000000.0,450352009.2,400057,31944.39058,220453635.6,0,-3.5250262335405727
1520000000000.0,6840.24,7223.36,6777.0,6923.91,36868.53909,1520000000000.0,258341534.5,240293,19086.03361,133763988.3,0,1.2232026946422943
